Size,Colors,ID,Nodes Explored,Runtime,Solution
10,7,0,4750,3900,[0 2 6 1 5 4 0 6 5 1 4 2 0 6 3]
10,7,1,22510,19899,[1 4 0 5 6 0 4 1 2 6 3 0 6 1 4 5]
10,7,2,683,669,[0 3 2 0 4 1 0 1 3 6 0 5 2 4 6 3]
10,7,3,5245,4627,[3 0 2 6 5 3 6 1 2 0 6 5 3 4 2 1]
10,7,4,2931,2357,[6 5 2 5 0 3 1 5 4 6 5 0 3 4 1 2]
10,8,0,26788,27604,[7 0 1 0 6 4 0 5 0 7 3 6 1 2 0 4 5 7]
10,8,1,28187,26715,[6 0 6 7 1 2 7 5 4 5 0 2 7 1 3 4 5 6]
10,8,2,60631,59021,[5 4 1 7 2 7 6 3 5 7 6 3 1 6 2 4 5 0]
10,8,3,DNF,--,--
10,8,4,36419,39783,[3 5 4 1 3 2 7 6 5 2 7 3 6 4 2 1 0]
15,4,0,1113,1695,[1 3 2 3 0 3 2 3 2 1 0 3 1 0 2 3 1]
15,4,1,545,623,[2 3 1 0 2 0 3 1 0 3 2 3 1 0]
15,4,2,585,820,[1 3 2 1 2 1 0 3 0 3 1 3 0 2 1 3]
15,4,3,101,125,[3 2 3 1 3 0 1 2 0 3 0 1 0 2 3]
15,4,4,1681,3460,[1 2 3 2 1 2 1 2 0 1 3 0 2 3 1 2 0 3]
15,5,0,6683,15093,[3 1 2 1 2 0 4 3 1 2 0 2 4 1 3 4 1 0 2]
15,5,1,421,698,[2 1 2 0 2 4 3 1 0 2 3 1 0 4 2]
15,5,2,2582,5334,[4 0 2 3 4 0 4 2 3 0 1 0 3 2 1 4 3 0]
15,5,3,10814,21264,[0 4 0 3 2 1 2 0 2 4 0 1 3 4 1 4 0 2]
15,5,4,6317,13176,[3 4 1 3 1 0 4 2 0 3 4 0 2 0 1 4 0 3 2]
15,6,0,DNF,--,--
15,6,1,DNF,--,--
15,6,2,DNF,--,--
15,6,3,DNF,--,--
15,6,4,DNF,--,--
15,7,0,DNF,--,--
15,7,1,DNF,--,--
15,7,2,DNF,--,--
15,7,3,DNF,--,--
15,7,4,DNF,--,--
15,8,0,DNF,--,--
15,8,1,DNF,--,--
15,8,2,DNF,--,--
15,8,3,DNF,--,--
15,8,4,DNF,--,--
20,4,0,9313,33220,[2 1 3 1 3 2 1 0 2 0 2 0 3 0 1 0 2 3 1 0 3]
20,4,1,DNF,--,--
20,4,2,DNF,--,--
20,4,3,10166,109861,[0 2 0 1 2 1 2 0 2 1 2 0 1 3 0 2 1 0 3 2]
20,4,4,DNF,--,--
20,5,0,DNF,--,--
20,5,1,DNF,--,--
20,5,2,DNF,--,--
20,5,3,DNF,--,--
20,5,4,DNF,--,--
20,6,0,DNF,--,--
20,6,1,DNF,--,--
20,6,2,DNF,--,--
20,6,3,DNF,--,--
20,6,4,DNF,--,--
20,7,0,DNF,--,--
20,7,1,DNF,--,--
20,7,2,DNF,--,--
20,7,3,DNF,--,--
20,7,4,DNF,--,--
20,8,0,DNF,--,--
20,8,1,DNF,--,--
20,8,2,DNF,--,--
20,8,3,DNF,--,--
20,8,4,DNF,--,--
25,4,0,1278,7041,[2 3 2 1 2 0 2 0 3 2 0 2 3 1 3 2 1 3 0 2 1]
25,4,1,4208,33100,[2 1 2 3 1 0 2 1 0 3 2 0 1 2 0 1 3 1 3 2 3 0 1]
25,4,2,DNF,--,--
25,4,3,DNF,--,--
25,4,4,DNF,--,--
25,5,0,DNF,--,--
25,5,1,DNF,--,--
25,5,2,DNF,--,--
25,5,3,DNF,--,--
25,5,4,DNF,--,--
25,6,0,DNF,--,--
25,6,1,DNF,--,--
25,6,2,DNF,--,--
25,6,3,DNF,--,--
25,6,4,DNF,--,--
25,7,0,DNF,--,--
25,7,1,DNF,--,--
25,7,2,DNF,--,--
25,7,3,DNF,--,--
25,7,4,DNF,--,--
25,8,0,DNF,--,--
25,8,1,DNF,--,--
25,8,2,DNF,--,--
25,8,3,DNF,--,--
25,8,4,DNF,--,--
